timestep,learner_elo,opponent,opponent_elo,wins,draws,losses
590000,2150.470485738653,PPO_500000,1511.7303524520212,100,0,0
600000,2202.9305394304683,MiniMax4,2144.7848659045644,49,0,51
600000,2202.9305394304683,Tactical,2116.235902532488,63,1,36
600000,2202.9305394304683,PPO_550000,1716.2094963827449,93,1,6
600000,2202.9305394304683,PPO_500000,1493.8854952185993,100,0,0
610000,2182.1493670666064,PPO_600000,2182.1493670666064,77,0,23
610000,2182.1493670666064,MiniMax4,2179.02854167324,47,0,53
610000,2182.1493670666064,Tactical,2111.749437746476,37,1,62
610000,2182.1493670666064,PPO_550000,1719.6128148777107,98,0,2
620000,2209.1352181481197,Tactical,2198.792630083496,56,0,44
620000,2209.1352181481197,MiniMax4,2192.2791252380384,48,0,52
620000,2209.1352181481197,PPO_600000,2084.5412000926835,86,0,14
620000,2209.1352181481197,PPO_550000,1689.9413548683015,99,0,1
630000,2295.8182062127444,MiniMax4,2208.225235578113,46,0,54
630000,2295.8182062127444,Tactical,2192.4911084271666,61,1,38
630000,2295.8182062127444,PPO_600000,2013.5887220142663,91,0,9
630000,2295.8182062127444,PPO_550000,1664.566256198349,98,0,2
640000,2278.652535523682,MiniMax4,2263.7549354069065,47,0,53
640000,2278.652535523682,Tactical,2202.2017707219507,58,0,42
640000,2278.652535523682,PPO_600000,1970.2645741213446,87,0,13
640000,2278.652535523682,PPO_550000,1659.8157126567553,100,0,0
650000,2276.5896169604944,Tactical,2209.510613234327,57,0,43
650000,2276.5896169604944,PPO_600000,1964.1636577511185,83,0,17
650000,2276.5896169604944,MiniMax4,2284.3503041439203,46,0,54
650000,2276.5896169604944,PPO_550000,1640.075336340779,99,0,1
660000,2253.7436592688473,PPO_650000,2253.7436592688473,51,0,49
660000,2253.7436592688473,Tactical,2225.4377797250177,67,1,32
660000,2253.7436592688473,MiniMax4,2297.0726816219944,50,0,50
660000,2253.7436592688473,PPO_600000,1969.2365321104617,88,0,12
670000,2334.06134325603,MiniMax4,2279.3482279250925,50,0,50
670000,2334.06134325603,PPO_650000,2254.586015869953,89,0,11
670000,2334.06134325603,Tactical,2185.365033481841,68,0,32
670000,2334.06134325603,PPO_600000,1945.8736914622523,88,0,12
680000,2380.477762524529,MiniMax4,2305.8532851494206,48,0,52
680000,2380.477762524529,Tactical,2204.983652532286,75,0,25
680000,2380.477762524529,PPO_650000,2151.5925068231772,88,0,12
680000,2380.477762524529,PPO_600000,1956.327104965755,96,0,4
690000,2397.3355371125667,MiniMax4,2351.8324253674964,48,0,52
690000,2397.3355371125667,Tactical,2202.6351538764716,71,0,29
690000,2397.3355371125667,PPO_650000,2112.689995498016,92,0,8
690000,2397.3355371125667,PPO_600000,1934.7412001406178,93,0,7
700000,2397.5197348535817,MiniMax4,2383.6613356568855,49,0,51
700000,2397.5197348535817,Tactical,2206.206482913019,71,0,29
700000,2397.5197348535817,PPO_650000,2073.8866167357824,92,0,8
700000,2397.5197348535817,PPO_600000,1937.9601418358998,95,0,5
710000,2418.510320705035,PPO_700000,2418.510320705035,56,0,44
710000,2418.510320705035,MiniMax4,2394.1808574356514,49,0,51
710000,2418.510320705035,Tactical,2213.1797167920768,69,0,31
710000,2418.510320705035,PPO_650000,2048.4165333272185,88,0,12
720000,2368.0719728370445,Tactical,2256.79851730515,74,0,26
720000,2368.0719728370445,PPO_650000,2060.5871016448546,95,0,5
720000,2368.0719728370445,PPO_700000,2399.083331909728,53,0,47
720000,2368.0719728370445,MiniMax4,2408.25682526824,49,0,51
730000,2480.518668720666,MiniMax4,2395.0325348268047,50,0,50
730000,2480.518668720666,PPO_700000,2375.8724461092643,58,0,42
730000,2480.518668720666,Tactical,2226.9760143402086,78,0,22
730000,2480.518668720666,PPO_650000,2014.3980849680734,89,0,11
740000,2387.7862138125797,Tactical,2229.887870535878,74,0,26
740000,2387.7862138125797,PPO_650000,2039.6771555263954,94,0,6
740000,2387.7862138125797,PPO_700000,2400.056193798349,57,0,43
740000,2387.7862138125797,MiniMax4,2435.390315291815,49,0,51
750000,2456.421964344547,MiniMax4,2419.813002861133,47,0,53
750000,2456.421964344547,PPO_700000,2371.462181332985,57,0,43
750000,2456.421964344547,Tactical,2230.8210586427363,81,0,19
750000,2456.421964344547,PPO_650000,2014.2795417836155,89,0,11
760000,2390.488568880401,PPO_750000,2390.488568880401,50,0,50
760000,2390.488568880401,PPO_700000,2384.882044429563,56,0,44
760000,2390.488568880401,MiniMax4,2455.5849281622513,48,0,52
